cell_type,n_cells,model,pseudobulk_pearson,pseudobulk_rmse_log1p,encoder,species,organ,target,seed,ratio,n_genes
B cell.,31,image,0.2245637625455856,0.3067571222782135,conch,human,ovary,FFHO026,0,1.0,200
B cell.,31,train_mean,0.2918513715267181,0.2794940769672394,conch,human,ovary,FFHO026,0,1.0,200
"CD8-positive, alpha-beta T cell.",50,image,0.1765338331460952,0.2564878761768341,conch,human,ovary,FFHO026,0,1.0,200
"CD8-positive, alpha-beta T cell.",50,train_mean,0.2463480681180954,0.234389916062355,conch,human,ovary,FFHO026,0,1.0,200
T cell.,182,image,0.2195022702217102,0.3298867344856262,conch,human,ovary,FFHO026,0,1.0,200
T cell.,182,train_mean,0.2733349800109863,0.3037838935852051,conch,human,ovary,FFHO026,0,1.0,200
cultured cell.,1145,image,0.2297271788120269,0.5184476375579834,conch,human,ovary,FFHO026,0,1.0,200
cultured cell.,1145,train_mean,0.594676673412323,0.4638654589653015,conch,human,ovary,FFHO026,0,1.0,200
dendritic cell.,26,image,0.1732777953147888,0.3609864413738251,conch,human,ovary,FFHO026,0,1.0,200
dendritic cell.,26,train_mean,0.2576139867305755,0.3284868597984314,conch,human,ovary,FFHO026,0,1.0,200
endothelial cell of lymphatic vessel.,39,image,0.2139780521392822,0.5101521015167236,conch,human,ovary,FFHO026,0,1.0,200
endothelial cell of lymphatic vessel.,39,train_mean,0.477140337228775,0.4656206667423248,conch,human,ovary,FFHO026,0,1.0,200
endothelial cell of vascular tree.,1100,image,0.3127114772796631,0.2902421951293945,conch,human,ovary,FFHO026,0,1.0,200
endothelial cell of vascular tree.,1100,train_mean,0.5290144681930542,0.2484476119279861,conch,human,ovary,FFHO026,0,1.0,200
endothelial cell.,1687,image,0.3453890979290008,0.2939218878746032,conch,human,ovary,FFHO026,0,1.0,200
endothelial cell.,1687,train_mean,0.4459410905838012,0.2589356303215027,conch,human,ovary,FFHO026,0,1.0,200
enterocyte.,20,image,0.3454334735870361,0.453337013721466,conch,human,ovary,FFHO026,0,1.0,200
enterocyte.,20,train_mean,0.5265756845474243,0.4143311381340027,conch,human,ovary,FFHO026,0,1.0,200
epithelial cell of lower respiratory tract.,2593,image,0.27109095454216,0.5060874819755554,conch,human,ovary,FFHO026,0,1.0,200
epithelial cell of lower respiratory tract.,2593,train_mean,0.5843539237976074,0.4561684131622314,conch,human,ovary,FFHO026,0,1.0,200
epithelial cell of lung.,24,image,0.3263061046600342,0.6374343037605286,conch,human,ovary,FFHO026,0,1.0,200
epithelial cell of lung.,24,train_mean,0.4172349870204925,0.6051287651062012,conch,human,ovary,FFHO026,0,1.0,200
epithelial cell of proximal tubule.,146,image,0.2473992705345153,0.5589104294776917,conch,human,ovary,FFHO026,0,1.0,200
epithelial cell of proximal tubule.,146,train_mean,0.5441111922264099,0.5113058090209961,conch,human,ovary,FFHO026,0,1.0,200
epithelial cell.,1104,image,0.2604338228702545,0.5276563763618469,conch,human,ovary,FFHO026,0,1.0,200
epithelial cell.,1104,train_mean,0.5303772687911987,0.4804826378822326,conch,human,ovary,FFHO026,0,1.0,200
erythroblast.,21,image,-0.019592335447669,0.0840286836028099,conch,human,ovary,FFHO026,0,1.0,200
erythroblast.,21,train_mean,0.3050737082958221,0.0895016342401504,conch,human,ovary,FFHO026,0,1.0,200
fibroblast of cardiac tissue.,26,image,0.5493336319923401,0.2899790704250335,conch,human,ovary,FFHO026,0,1.0,200
fibroblast of cardiac tissue.,26,train_mean,0.3948126435279846,0.2725164592266083,conch,human,ovary,FFHO026,0,1.0,200
fibroblast.,898,image,0.666044294834137,0.3845621347427368,conch,human,ovary,FFHO026,0,1.0,200
fibroblast.,898,train_mean,0.3560508191585541,0.3747862875461578,conch,human,ovary,FFHO026,0,1.0,200
goblet cell.,65,image,0.2263594418764114,0.5544261336326599,conch,human,ovary,FFHO026,0,1.0,200
goblet cell.,65,train_mean,0.5262917876243591,0.5055181980133057,conch,human,ovary,FFHO026,0,1.0,200
innate lymphoid cell.,28,image,0.1686539351940155,0.2108525484800338,conch,human,ovary,FFHO026,0,1.0,200
innate lymphoid cell.,28,train_mean,0.2849028408527374,0.1888118684291839,conch,human,ovary,FFHO026,0,1.0,200
intestinal epithelial cell.,218,image,0.2268930524587631,0.5553064942359924,conch,human,ovary,FFHO026,0,1.0,200
intestinal epithelial cell.,218,train_mean,0.5810418725013733,0.5035700798034668,conch,human,ovary,FFHO026,0,1.0,200
macrophage.,1248,image,0.1963267177343368,0.4115642607212066,conch,human,ovary,FFHO026,0,1.0,200
macrophage.,1248,train_mean,0.200240358710289,0.3857024013996124,conch,human,ovary,FFHO026,0,1.0,200
malignant cell.,34,image,0.2031600326299667,0.5234510898590088,conch,human,ovary,FFHO026,0,1.0,200
malignant cell.,34,train_mean,0.4932961165904999,0.4742591381072998,conch,human,ovary,FFHO026,0,1.0,200
monocyte.,88,image,0.1421610862016677,0.3982287943363189,conch,human,ovary,FFHO026,0,1.0,200
monocyte.,88,train_mean,0.2153414785861969,0.369545429944992,conch,human,ovary,FFHO026,0,1.0,200
myeloid cell.,21,image,0.2179340869188308,0.1047869548201561,conch,human,ovary,FFHO026,0,1.0,200
myeloid cell.,21,train_mean,0.3397085666656494,0.0969313830137252,conch,human,ovary,FFHO026,0,1.0,200
natural killer cell.,31,image,0.2214417308568954,0.2619381248950958,conch,human,ovary,FFHO026,0,1.0,200
natural killer cell.,31,train_mean,0.2365805953741073,0.2422927767038345,conch,human,ovary,FFHO026,0,1.0,200
neutrophil.,161,image,0.2115786224603653,0.3542611598968506,conch,human,ovary,FFHO026,0,1.0,200
neutrophil.,161,train_mean,0.2989883720874786,0.3212241232395172,conch,human,ovary,FFHO026,0,1.0,200
plasma cell.,108,image,0.2259366363286972,0.3527414798736572,conch,human,ovary,FFHO026,0,1.0,200
plasma cell.,108,train_mean,0.326759397983551,0.3249940872192383,conch,human,ovary,FFHO026,0,1.0,200
smooth muscle cell.,203,image,0.5991027355194092,0.3680698573589325,conch,human,ovary,FFHO026,0,1.0,200
smooth muscle cell.,203,train_mean,0.4128001034259796,0.3492093682289123,conch,human,ovary,FFHO026,0,1.0,200
stromal cell.,591,image,0.5444076061248779,0.1866535246372223,conch,human,ovary,FFHO026,0,1.0,200
stromal cell.,591,train_mean,0.4169771373271942,0.1739473640918731,conch,human,ovary,FFHO026,0,1.0,200
B cell.,31,image,0.2279458194971084,0.3068948984146118,conch,human,ovary,FFHO026,1,1.0,200
B cell.,31,train_mean,0.2918513715267181,0.2794940769672394,conch,human,ovary,FFHO026,1,1.0,200
"CD8-positive, alpha-beta T cell.",50,image,0.1812602579593658,0.2567633092403412,conch,human,ovary,FFHO026,1,1.0,200
"CD8-positive, alpha-beta T cell.",50,train_mean,0.2463480681180954,0.234389916062355,conch,human,ovary,FFHO026,1,1.0,200
T cell.,182,image,0.2236245572566986,0.3301401138305664,conch,human,ovary,FFHO026,1,1.0,200
T cell.,182,train_mean,0.2733349800109863,0.3037838935852051,conch,human,ovary,FFHO026,1,1.0,200
cultured cell.,1145,image,0.2241144776344299,0.5187711119651794,conch,human,ovary,FFHO026,1,1.0,200
cultured cell.,1145,train_mean,0.594676673412323,0.4638654589653015,conch,human,ovary,FFHO026,1,1.0,200
dendritic cell.,26,image,0.1730858981609344,0.36160409450531,conch,human,ovary,FFHO026,1,1.0,200
dendritic cell.,26,train_mean,0.2576139867305755,0.3284868597984314,conch,human,ovary,FFHO026,1,1.0,200
endothelial cell of lymphatic vessel.,39,image,0.2109384834766388,0.5106621980667114,conch,human,ovary,FFHO026,1,1.0,200
endothelial cell of lymphatic vessel.,39,train_mean,0.477140337228775,0.4656206667423248,conch,human,ovary,FFHO026,1,1.0,200
endothelial cell of vascular tree.,1100,image,0.3117698132991791,0.2904190719127655,conch,human,ovary,FFHO026,1,1.0,200
endothelial cell of vascular tree.,1100,train_mean,0.5290144681930542,0.2484476119279861,conch,human,ovary,FFHO026,1,1.0,200
endothelial cell.,1687,image,0.344095230102539,0.294116348028183,conch,human,ovary,FFHO026,1,1.0,200
endothelial cell.,1687,train_mean,0.4459410905838012,0.2589356303215027,conch,human,ovary,FFHO026,1,1.0,200
enterocyte.,20,image,0.3403218686580658,0.4532200396060943,conch,human,ovary,FFHO026,1,1.0,200
enterocyte.,20,train_mean,0.5265756845474243,0.4143311381340027,conch,human,ovary,FFHO026,1,1.0,200
epithelial cell of lower respiratory tract.,2593,image,0.2645341157913208,0.506404459476471,conch,human,ovary,FFHO026,1,1.0,200
epithelial cell of lower respiratory tract.,2593,train_mean,0.5843539237976074,0.4561684131622314,conch,human,ovary,FFHO026,1,1.0,200
epithelial cell of lung.,24,image,0.319965660572052,0.6375814080238342,conch,human,ovary,FFHO026,1,1.0,200
epithelial cell of lung.,24,train_mean,0.4172349870204925,0.6051287651062012,conch,human,ovary,FFHO026,1,1.0,200
epithelial cell of proximal tubule.,146,image,0.2399412244558334,0.5594124794006348,conch,human,ovary,FFHO026,1,1.0,200
epithelial cell of proximal tubule.,146,train_mean,0.5441111922264099,0.5113058090209961,conch,human,ovary,FFHO026,1,1.0,200
epithelial cell.,1104,image,0.2548104226589203,0.5279844403266907,conch,human,ovary,FFHO026,1,1.0,200
epithelial cell.,1104,train_mean,0.5303772687911987,0.4804826378822326,conch,human,ovary,FFHO026,1,1.0,200
erythroblast.,21,image,-0.0218708589673042,0.0844892784953117,conch,human,ovary,FFHO026,1,1.0,200
